time,Downwelling Shortwave Irradiance (W m-2)
2017-08-21 04:58:12.187999744,2.9
2017-08-21 04:59:16.508999680,2.9
2017-08-21 05:00:20.732999680,2.9
2017-08-21 05:00:54.694999552,2.9
2017-08-21 05:02:00.852000256,2.9
2017-08-21 05:03:04.279999488,3.0
2017-08-21 05:04:09.595999744,2.9
2017-08-21 05:05:14.512000000,3.0
2017-08-21 05:06:19.399000064,2.9
2017-08-21 05:06:54.685999616,3.1
2017-08-21 05:07:55.387000320,3.1
2017-08-21 05:08:59.897000448,3.1
2017-08-21 05:10:04.124000256,3.2
2017-08-21 05:11:08.449999872,3.1
2017-08-21 05:12:13.616999936,3.2
2017-08-21 05:13:18.104000000,3.2
2017-08-21 05:14:22.543000064,3.2
2017-08-21 05:14:55.826999808,3.1
2017-08-21 05:16:00.250999808,3.1
2017-08-21 05:17:04.562000384,3.1
2017-08-21 05:18:08.786000384,3.0
2017-08-21 05:19:13.022000128,3.1
2017-08-21 05:20:17.698999808,3.1
2017-08-21 05:21:21.947999744,3.1
2017-08-21 05:21:54.684000256,3.0
2017-08-21 05:22:59.025999872,2.9
2017-08-21 05:24:04.802999808,2.8
2017-08-21 05:25:09.359000064,2.7
2017-08-21 05:26:13.687999488,2.6
2017-08-21 05:27:17.953999872,2.5
2017-08-21 05:28:22.200000000,2.5
2017-08-21 05:28:54.683000320,2.7
2017-08-21 05:29:59.060999680,2.8
2017-08-21 05:31:03.298000384,2.8
2017-08-21 05:32:07.525000192,2.7
2017-08-21 05:33:11.762999808,2.8
2017-08-21 05:34:16.128000512,2.7
2017-08-21 05:35:20.474999808,2.8
2017-08-21 05:35:54.679000064,2.7
2017-08-21 05:36:59.104999936,2.7
2017-08-21 05:38:03.522000384,2.7
2017-08-21 05:39:07.779999744,2.6
2017-08-21 05:40:12.376000000,2.6
2017-08-21 05:41:16.614000128,2.7
2017-08-21 05:42:21.380000256,2.7
2017-08-21 05:42:54.666999808,2.8
2017-08-21 05:44:00.540999680,2.8
2017-08-21 05:45:04.777999872,2.8
2017-08-21 05:46:09.344000000,2.9
2017-08-21 05:47:13.595999744,3.0
2017-08-21 05:48:17.840000000,3.0
2017-08-21 05:49:23.154999808,3.0
2017-08-21 05:49:55.418000384,2.9
2017-08-21 05:50:59.645000192,2.9
2017-08-21 05:52:04.119000064,3.0
2017-08-21 05:53:08.482999808,2.9
2017-08-21 05:54:12.717000192,2.9
2017-08-21 05:55:18.592999936,2.9
2017-08-21 05:56:22.819999744,3.0
2017-08-21 05:56:54.946999808,2.9
2017-08-21 05:57:59.539999744,2.9
2017-08-21 05:59:04.267000320,2.9
2017-08-21 06:00:08.574000128,2.9
2017-08-21 06:01:12.812000256,3.0
2017-08-21 06:02:17.376000000,3.0
2017-08-21 06:03:21.727000064,2.9
2017-08-21 06:03:54.652999680,2.9
2017-08-21 06:05:00.581000192,3.0
2017-08-21 06:06:06.621000192,3.0
2017-08-21 06:07:10.848999936,2.9
2017-08-21 06:08:15.144999936,2.8
2017-08-21 06:09:19.793000448,2.9
2017-08-21 06:09:54.642999808,2.9
2017-08-21 06:10:54.874999808,3.0
2017-08-21 06:11:59.109999616,3.0
2017-08-21 06:13:03.696000000,2.9
2017-08-21 06:14:07.963000320,3.0
2017-08-21 06:15:12.359999488,3.1
2017-08-21 06:16:17.577999872,3.1
2017-08-21 06:17:21.805000192,3.1
2017-08-21 06:17:54.644000256,3.1
2017-08-21 06:18:59.374000128,3.1
2017-08-21 06:20:03.961999872,3.1
2017-08-21 06:21:09.017999872,3.1
2017-08-21 06:22:13.512000000,3.1
2017-08-21 06:23:17.912999936,3.1
2017-08-21 06:24:22.138999808,3.0
2017-08-21 06:24:55.672000000,2.9
2017-08-21 06:26:00.428999680,2.9
2017-08-21 06:27:10.500999680,2.8
2017-08-21 06:28:17.761999872,2.6
2017-08-21 06:29:22.515000320,2.5
2017-08-21 06:29:54.671000064,2.3
2017-08-21 06:30:59.048000512,2.2
2017-08-21 06:32:03.455000064,2.2
2017-08-21 06:33:08.262000128,2.2
2017-08-21 06:34:15.076000256,2.3
2017-08-21 06:35:20.624999936,2.2
2017-08-21 06:35:54.633999872,2.1
2017-08-21 06:37:00.488000000,2.1
2017-08-21 06:38:04.732999680,2.2
2017-08-21 06:39:09.668000256,2.1
2017-08-21 06:40:13.970000384,2.1
2017-08-21 06:41:18.401999872,2.0
2017-08-21 06:42:22.630000128,2.1
2017-08-21 06:42:55.210999808,2.2
2017-08-21 06:43:59.470000128,2.2
2017-08-21 06:45:03.718000128,2.1
2017-08-21 06:46:08.654000128,2.2
2017-08-21 06:47:14.289999872,2.1
2017-08-21 06:48:19.107000320,2.2
2017-08-21 06:49:23.359999488,2.2
2017-08-21 06:49:55.488000000,2.1
2017-08-21 06:50:59.874999808,2.2
2017-08-21 06:52:04.280999936,2.3
2017-08-21 06:53:08.939000320,2.2
2017-08-21 06:54:13.165000192,2.1
2017-08-21 06:55:17.661999616,2.2
2017-08-21 06:56:21.908999680,2.2
2017-08-21 06:56:54.639000064,2.2
2017-08-21 06:57:57.279999488,2.3
2017-08-21 06:59:03.456999936,2.2
2017-08-21 07:00:08.232999936,2.2
2017-08-21 07:01:12.539999744,2.3
2017-08-21 07:02:16.888000000,2.2
2017-08-21 07:03:21.114000384,2.2
2017-08-21 07:03:54.609000448,2.2
2017-08-21 07:04:59.326000128,2.1
2017-08-21 07:06:03.963000320,2.2
2017-08-21 07:07:08.338000384,2.1
2017-08-21 07:08:12.966000128,2.2
2017-08-21 07:09:17.541999616,2.3
2017-08-21 07:10:21.980000256,2.2
2017-08-21 07:10:54.609999872,2.3
2017-08-21 07:11:58.947999744,2.2
2017-08-21 07:13:03.246000128,2.2
2017-08-21 07:14:07.493000192,2.3
2017-08-21 07:15:11.730999808,2.3
2017-08-21 07:16:16.456999936,2.3
2017-08-21 07:17:20.694999552,2.3
2017-08-21 07:17:54.608000000,2.3
2017-08-21 07:18:59.673999872,2.4
2017-08-21 07:20:03.981000192,2.4
2017-08-21 07:21:08.407000064,2.4
2017-08-21 07:22:12.645000192,2.4
2017-08-21 07:23:17.176999936,2.4
2017-08-21 07:24:21.790000128,2.4
2017-08-21 07:24:55.437000192,2.4
2017-08-21 07:25:59.939000320,2.3
2017-08-21 07:27:04.465999872,2.3
2017-08-21 07:28:08.836999680,2.4
2017-08-21 07:29:16.484000256,2.4
2017-08-21 07:30:21.176000000,2.3
2017-08-21 07:30:54.593999872,2.3
2017-08-21 07:31:58.866000384,2.3
2017-08-21 07:33:03.382000128,2.4
2017-08-21 07:34:07.697999872,2.3
2017-08-21 07:35:12.145999872,2.4
2017-08-21 07:36:16.413000192,2.4
2017-08-21 07:37:20.871000064,2.5
2017-08-21 07:37:54.592000000,2.5
2017-08-21 07:38:58.831000576,2.4
2017-08-21 07:40:03.907999744,2.3
2017-08-21 07:41:08.664999936,2.4
2017-08-21 07:42:13.351000064,2.3
2017-08-21 07:43:17.698999808,2.5
2017-08-21 07:44:22.345000448,2.3
2017-08-21 07:44:55.621999616,2.3
2017-08-21 07:46:00.399000064,2.4
2017-08-21 07:47:04.642000384,2.4
2017-08-21 07:48:09.088999936,2.3
2017-08-21 07:49:13.326000128,2.4
2017-08-21 07:50:19.092000256,2.3
2017-08-21 07:50:54.578999808,2.3
2017-08-21 07:51:56.211999744,2.3
2017-08-21 07:53:00.701000192,2.4
2017-08-21 07:54:05.376000000,2.4
2017-08-21 07:55:10.383000064,2.3
2017-08-21 07:56:14.609999872,2.3
2017-08-21 07:57:19.668000256,2.4
2017-08-21 07:57:54.575000064,2.4
2017-08-21 07:58:55.296999936,2.4
2017-08-21 07:59:59.543000064,2.3
2017-08-21 08:01:04.218999808,2.3
2017-08-21 08:02:08.848999936,2.4
2017-08-21 08:03:13.074999808,2.3
2017-08-21 08:04:18.062999552,2.4
2017-08-21 08:05:22.510000128,2.2
2017-08-21 08:05:54.842999808,2.3
2017-08-21 08:07:00.007000064,2.3
2017-08-21 08:08:04.355999744,2.2
2017-08-21 08:09:08.670000128,2.3
2017-08-21 08:10:15.288999936,2.4
2017-08-21 08:11:17.527000064,2.4
2017-08-21 08:12:21.840999936,2.3
2017-08-21 08:12:54.569999872,2.2
2017-08-21 08:13:59.234999808,2.3
2017-08-21 08:15:04.524000256,2.5
2017-08-21 08:16:08.759000064,2.4
2017-08-21 08:17:13.354999808,2.5
2017-08-21 08:18:17.873999872,2.5
2017-08-21 08:19:22.484000256,2.6
